
========>...................] - ETA: 21:53 - loss: 0.3489 - acc: 0.8717
23637/60000 [==========>...................] - ETA: 21:53 - loss: 0.3489 - acc: 0.8717
23640/60000 [==========>...................] - ETA: 21:52 - loss: 0.3494 - acc: 0.8716
23643/60000 [==========>...................] - ETA: 21:52 - loss: 0.3494 - acc: 0.8716
23646/60000 [==========>...................] - ETA: 21:52 - loss: 0.3494 - acc: 0.8716
23649/60000 [==========>...................] - ETA: 21:52 - loss: 0.3493 - acc: 0.8716
23652/60000 [==========>...................] - ETA: 21:52 - loss: 0.3493 - acc: 0.8716
23655/60000 [==========>...................] - ETA: 21:52 - loss: 0.3493 - acc: 0.8716
23658/60000 [==========>...................] - ETA: 21:52 - loss: 0.3499 - acc: 0.8716
23661/60000 [==========>...................] - ETA: 21:52 - loss: 0.3499 - acc: 0.8716
23664/60000 [==========>...................] - ETA: 21:52 - loss: 0.3498 - acc: 0.8716
23667/60000 [==========>...................] - ETA: 21:51 - loss: 0.3499 - acc: 0.8716
23670/60000 [==========>...................] - ETA: 21:51 - loss: 0.3499 - acc: 0.8715
23673/60000 [==========>...................] - ETA: 21:51 - loss: 0.3499 - acc: 0.8715
23676/60000 [==========>...................] - ETA: 21:51 - loss: 0.3499 - acc: 0.8715
23679/60000 [==========>...................] - ETA: 21:51 - loss: 0.3499 - acc: 0.8715
23682/60000 [==========>...................] - ETA: 21:51 - loss: 0.3499 - acc: 0.8715
23685/60000 [==========>...................] - ETA: 21:51 - loss: 0.3499 - acc: 0.8715
23688/60000 [==========>...................] - ETA: 21:51 - loss: 0.3499 - acc: 0.8715
23691/60000 [==========>...................] - ETA: 21:51 - loss: 0.3501 - acc: 0.8714
23694/60000 [==========>...................] - ETA: 21:51 - loss: 0.3502 - acc: 0.8713
23697/60000 [==========>...................] - ETA: 21:50 - loss: 0.3503 - acc: 0.8713
23700/60000 [==========>...................] - ETA: 21:50 - loss: 0.3502 - acc: 0.8713
23703/60000 [==========>...................] - ETA: 21:50 - loss: 0.3503 - acc: 0.8713
23706/60000 [==========>...................] - ETA: 21:50 - loss: 0.3502 - acc: 0.8713
23709/60000 [==========>...................] - ETA: 21:50 - loss: 0.3503 - acc: 0.8713
23712/60000 [==========>...................] - ETA: 21:50 - loss: 0.3503 - acc: 0.8713
23715/60000 [==========>...................] - ETA: 21:50 - loss: 0.3502 - acc: 0.8713
23718/60000 [==========>...................] - ETA: 21:50 - loss: 0.3502 - acc: 0.8713
23721/60000 [==========>...................] - ETA: 21:50 - loss: 0.3501 - acc: 0.8713
23724/60000 [==========>...................] - ETA: 21:49 - loss: 0.3501 - acc: 0.8714
23727/60000 [==========>...................] - ETA: 21:49 - loss: 0.3500 - acc: 0.8714
23730/60000 [==========>...................] - ETA: 21:49 - loss: 0.3501 - acc: 0.8713
23733/60000 [==========>...................] - ETA: 21:49 - loss: 0.3500 - acc: 0.8714
23736/60000 [==========>...................] - ETA: 21:49 - loss: 0.3500 - acc: 0.8714
23739/60000 [==========>...................] - ETA: 21:49 - loss: 0.3500 - acc: 0.8714
23742/60000 [==========>...................] - ETA: 21:49 - loss: 0.3499 - acc: 0.8714
23745/60000 [==========>...................] - ETA: 21:49 - loss: 0.3500 - acc: 0.8714
23748/60000 [==========>...................] - ETA: 21:49 - loss: 0.3500 - acc: 0.8713
23751/60000 [==========>...................] - ETA: 21:48 - loss: 0.3501 - acc: 0.8713
23754/60000 [==========>...................] - ETA: 21:48 - loss: 0.3502 - acc: 0.8713
23757/60000 [==========>...................] - ETA: 21:48 - loss: 0.3502 - acc: 0.8712
23760/60000 [==========>...................] - ETA: 21:48 - loss: 0.3501 - acc: 0.8713
23763/60000 [==========>...................] - ETA: 21:48 - loss: 0.3501 - acc: 0.8713
23766/60000 [==========>...................] - ETA: 21:48 - loss: 0.3501 - acc: 0.8713
23769/60000 [==========>...................] - ETA: 21:48 - loss: 0.3501 - acc: 0.8713
23772/60000 [==========>...................] - ETA: 21:48 - loss: 0.3500 - acc: 0.8713
23775/60000 [==========>...................] - ETA: 21:48 - loss: 0.3500 - acc: 0.8713
23778/60000 [==========>...................] - ETA: 21:47 - loss: 0.3501 - acc: 0.8713
23781/60000 [==========>...................] - ETA: 21:47 - loss: 0.3501 - acc: 0.8713
23784/60000 [==========>...................] - ETA: 21:47 - loss: 0.3500 - acc: 0.8713
23787/60000 [==========>...................] - ETA: 21:47 - loss: 0.3500 - acc: 0.8714
23790/60000 [==========>...................] - ETA: 21:47 - loss: 0.3499 - acc: 0.8714
23793/60000 [==========>...................] - ETA: 21:47 - loss: 0.3500 - acc: 0.8713
23796/60000 [==========>...................] - ETA: 21:47 - loss: 0.3501 - acc: 0.8713
23799/60000 [==========>...................] - ETA: 21:47 - loss: 0.3500 - acc: 0.8713
23802/60000 [==========>...................] - ETA: 21:47 - loss: 0.3501 - acc: 0.8713
23805/60000 [==========>...................] - ETA: 21:47 - loss: 0.3502 - acc: 0.8713
23808/60000 [==========>...................] - ETA: 21:46 - loss: 0.3501 - acc: 0.8713
23811/60000 [==========>...................] - ETA: 21:46 - loss: 0.3502 - acc: 0.8713
23814/60000 [==========>...................] - ETA: 21:46 - loss: 0.3501 - acc: 0.8713
23817/60000 [==========>...................] - ETA: 21:46 - loss: 0.3502 - acc: 0.8712
23820/60000 [==========>...................] - ETA: 21:46 - loss: 0.3502 - acc: 0.8712
23823/60000 [==========>...................] - ETA: 21:46 - loss: 0.3501 - acc: 0.8713
23826/60000 [==========>...................] - ETA: 21:46 - loss: 0.3501 - acc: 0.8713
23829/60000 [==========>...................] - ETA: 21:46 - loss: 0.3501 - acc: 0.8713
23832/60000 [==========>...................] - ETA: 21:46 - loss: 0.3500 - acc: 0.8713
23835/60000 [==========>...................] - ETA: 21:45 - loss: 0.3500 - acc: 0.8713
23838/60000 [==========>...................] - ETA: 21:45 - loss: 0.3500 - acc: 0.8713
23841/60000 [==========>...................] - ETA: 21:45 - loss: 0.3500 - acc: 0.8713
23844/60000 [==========>...................] - ETA: 21:45 - loss: 0.3500 - acc: 0.8713
23847/60000 [==========>...................] - ETA: 21:45 - loss: 0.3499 - acc: 0.8713
23850/60000 [==========>...................] - ETA: 21:45 - loss: 0.3499 - acc: 0.8713
23853/60000 [==========>...................] - ETA: 21:45 - loss: 0.3499 - acc: 0.8713
23856/60000 [==========>...................] - ETA: 21:45 - loss: 0.3499 - acc: 0.8713
23859/60000 [==========>...................] - ETA: 21:45 - loss: 0.3498 - acc: 0.8713
23862/60000 [==========>...................] - ETA: 21:44 - loss: 0.3498 - acc: 0.8713
23865/60000 [==========>...................] - ETA: 21:44 - loss: 0.3498 - acc: 0.8714
23868/60000 [==========>...................] - ETA: 21:44 - loss: 0.3498 - acc: 0.8714
23871/60000 [==========>...................] - ETA: 21:44 - loss: 0.3497 - acc: 0.8714
23874/60000 [==========>...................] - ETA: 21:44 - loss: 0.3498 - acc: 0.8714
23877/60000 [==========>...................] - ETA: 21:44 - loss: 0.3497 - acc: 0.8714
23880/60000 [==========>...................] - ETA: 21:44 - loss: 0.3497 - acc: 0.8714
